C,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,species1,species1count,species2,species2count,Flag,Water,OHV,Outreach,CamSetup,Note
06260109.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,26-Jun-21,13:34:12,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06260110.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,26-Jun-21,22:30:14,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06260111.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,26-Jun-21,22:31:27,Ok,FALSE,Lynx rufus,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06260112.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,26-Jun-21,23:31:03,Ok,FALSE,Lynx rufus,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06270113.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,27-Jun-21,10:52:42,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06270114.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,27-Jun-21,11:57:55,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06270115.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,27-Jun-21,12:34:19,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06270116.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,27-Jun-21,12:50:40,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06270117.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,27-Jun-21,13:03:25,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06270118.JPG,SC12_13JunTo11Jul,SC12_13JunTo11Jul-20220129T041454Z-001,27-Jun-21,14:44:15,Ok,FALSE,Canis latrans,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
